Store Id,Grocery,Grocery Trunk,Fresh,Fresh Trunk,Frozen,Frozen Trunk
5143,34517,30053,30053,30053,#N/A,#N/A
5149,#N/A,#N/A,30102,30102,#N/A,#N/A
5153,#N/A,#N/A,30103,30103,37197,30103
5155,#N/A,#N/A,30103,30103,37197,30103
5161,#N/A,#N/A,34515,34515,37197,34515
5165,#N/A,#N/A,30102,30102,#N/A,#N/A
5167,#N/A,#N/A,30103,30103,37197,30103
5168,#N/A,#N/A,30102,30102,#N/A,#N/A
5172,#N/A,#N/A,30103,30103,37197,30103
5182,#N/A,#N/A,30102,30102,#N/A,#N/A
5197,#N/A,#N/A,30102,30102,#N/A,#N/A
5203,#N/A,#N/A,30102,30102,#N/A,#N/A
5207,#N/A,#N/A,30102,30102,#N/A,#N/A
5209,#N/A,#N/A,30103,30103,37197,30103
5213,#N/A,#N/A,30103,30103,37197,30103
5223,#N/A,#N/A,30102,30102,#N/A,#N/A
5224,#N/A,#N/A,30053,30053,#N/A,#N/A
5225,#N/A,#N/A,30102,30102,#N/A,#N/A
5227,#N/A,#N/A,30102,30102,#N/A,#N/A
5228,34512,30102,30102,30102,#N/A,#N/A
5242,#N/A,#N/A,30052,30052,37197,30052
5246,#N/A,#N/A,30102,30102,#N/A,#N/A
5250,#N/A,#N/A,30103,30103,37197,30103
5270,#N/A,#N/A,30102,30102,#N/A,#N/A
5278,#N/A,#N/A,30102,30102,#N/A,#N/A
5286,#N/A,#N/A,30053,30053,#N/A,#N/A
5299,#N/A,#N/A,30103,30103,37197,30103
5315,34517,30053,30053,30053,#N/A,#N/A
5316,#N/A,#N/A,30103,30103,37197,30103
5318,#N/A,#N/A,30102,30102,#N/A,#N/A
5321,#N/A,#N/A,30103,30103,37197,30103
5325,#N/A,#N/A,30102,30102,#N/A,#N/A
5329,#N/A,#N/A,30102,30102,#N/A,#N/A
5332,#N/A,#N/A,30102,30102,#N/A,#N/A
5338,#N/A,#N/A,30102,30102,#N/A,#N/A
5352,#N/A,#N/A,30103,30103,37197,30103
5362,#N/A,#N/A,30102,30102,#N/A,#N/A
5365,#N/A,#N/A,30053,30053,#N/A,#N/A
5370,#N/A,#N/A,30103,30103,37197,30103
5371,#N/A,#N/A,30052,30052,37197,30052
5378,#N/A,#N/A,30102,30102,#N/A,#N/A
5381,#N/A,#N/A,30103,30103,37197,30103
5384,#N/A,#N/A,30053,30053,#N/A,#N/A
5386,#N/A,#N/A,30102,30102,#N/A,#N/A
5391,#N/A,#N/A,30053,30053,#N/A,#N/A
5392,#N/A,#N/A,30102,30102,#N/A,#N/A
5394,#N/A,#N/A,30103,30103,37197,30103
5397,#N/A,#N/A,30102,30102,#N/A,#N/A
5401,#N/A,#N/A,30103,30103,37197,30103
5403,#N/A,#N/A,30102,30102,#N/A,#N/A
5415,#N/A,#N/A,30053,30053,#N/A,#N/A
5429,#N/A,#N/A,30053,30053,#N/A,#N/A
5434,#N/A,#N/A,30103,30103,37197,30103
5438,#N/A,#N/A,34515,34515,37197,34515
5442,#N/A,#N/A,34515,34515,37197,34515
5446,#N/A,#N/A,30103,30103,37197,30103
5461,34517,30053,30053,30053,#N/A,#N/A
5471,#N/A,#N/A,34515,34515,37197,34515
5472,#N/A,#N/A,30053,30053,#N/A,#N/A
5475,#N/A,#N/A,30103,30103,37197,30103
5478,#N/A,#N/A,30053,30053,#N/A,#N/A
5495,34512,30102,30102,30102,#N/A,#N/A
5498,#N/A,#N/A,30102,30102,#N/A,#N/A
5503,#N/A,#N/A,30102,30102,#N/A,#N/A
5504,#N/A,#N/A,30102,30102,#N/A,#N/A
5506,#N/A,#N/A,30102,30102,#N/A,#N/A
5519,34517,30103,30103,30103,37197,30103
5525,34517,30053,30053,30053,#N/A,#N/A
5528,#N/A,#N/A,30053,30053,37197,30053
5533,#N/A,#N/A,30103,30103,37197,30103
5542,#N/A,#N/A,34515,34515,37197,34515
5549,#N/A,#N/A,30102,30102,#N/A,#N/A
5553,#N/A,#N/A,30102,30102,#N/A,#N/A
5559,#N/A,#N/A,30103,30103,37197,30103
