Location Id,Depot Id,Product Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bank Holiday
53025,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53011,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53011,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53051,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53051,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53009,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53009,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53043,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53043,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53098,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
53098,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
6668,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
6668,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2304,38111,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
2304,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
2304,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
2365,38111,8,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
2365,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
2365,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
2468,38111,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
2468,38111,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
2468,38111,10,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
2486,38111,10,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00
2486,38111,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
2522,38111,10,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00
2522,38111,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
2620,38111,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
2620,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
2620,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
2774,38111,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
2774,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
2774,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
3033,38111,10,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00
3033,38111,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
3072,38111,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
3072,38111,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
3072,38111,10,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00
3287,38111,10,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00
3287,38111,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
3296,38111,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
3296,38111,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
3296,38111,10,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00
3575,38111,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
3575,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
3575,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
4369,38111,8,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
4369,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
4369,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
4625,38111,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
4625,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
4625,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
4898,38111,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
4898,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
4898,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
4918,38111,8,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
4918,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
4918,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5256,38111,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
5256,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5256,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
