Fixed Trip Id,Start Location,End Location,Drop Location,Target,Sequence,Arrival Time,Visit Type,Vehicle Type,Day of the Week,Day of the Leg,Schedule with Wave,Driver,Product Code,Volume,Flexible Start,Flexible End
97,38111,38111,34515,,1,16:59-17:00,Delivery,dd,Monday,Monday,2,,1,72,No,No
98,38111,38111,34515,,1,15:59-16:00,Delivery,dd,Monday,Monday,2,,1,72,No,No
99,38111,38111,34002,,1,16:59-17:00,Delivery,dd,Tuesday,Tuesday,2,,10,65,No,No
100,38111,38111,34002,,1,16:59-17:00,Delivery,dd,Tuesday,Tuesday,2,,10,65,No,No
101,38111,38111,34002,,1,19:59-20:00,Delivery,dd,Tuesday,Tuesday,2,,10,65,No,No
102,38111,38111,34002,,1,20:59-21:00,Delivery,dd,Tuesday,Tuesday,2,,10,65,No,No
103,38111,38111,34515,,1,21:29-21:30,Delivery,dd,Tuesday,Tuesday,2,,1,72,No,No
104,38111,38111,34515,,1,20:29-20:30,Delivery,dd,Tuesday,Tuesday,2,,1,72,No,No
105,38111,38111,34515,,1,18:59-19:00,Delivery,dd,Tuesday,Tuesday,2,,1,72,No,No
106,38111,38111,34515,,1,16:59-17:00,Delivery,dd,Tuesday,Tuesday,2,,1,72,No,No
107,38111,38111,34515,,1,15:59-16:00,Delivery,dd,Tuesday,Tuesday,2,,1,72,No,No
108,38111,38111,34002,,1,16:59-17:00,Delivery,dd,Wednesday,Wednesday,2,,10,65,No,No
109,38111,38111,34002,,1,16:59-17:00,Delivery,dd,Wednesday,Wednesday,2,,10,65,No,No
110,38111,38111,34002,,1,19:59-20:00,Delivery,dd,Wednesday,Wednesday,2,,10,65,No,No
111,38111,38111,34002,,1,20:59-21:00,Delivery,dd,Wednesday,Wednesday,2,,10,65,No,No
112,38111,38111,34515,,1,21:29-21:30,Delivery,dd,Wednesday,Wednesday,2,,1,72,No,No
113,38111,38111,34515,,1,20:29-20:30,Delivery,dd,Wednesday,Wednesday,2,,1,72,No,No
114,38111,38111,34515,,1,18:59-19:00,Delivery,dd,Wednesday,Wednesday,2,,1,72,No,No
115,38111,38111,34515,,1,16:59-17:00,Delivery,dd,Wednesday,Wednesday,2,,1,72,No,No
116,38111,38111,34515,,1,15:59-16:00,Delivery,dd,Wednesday,Wednesday,2,,1,72,No,No
117,38111,38111,34002,,1,16:59-17:00,Delivery,dd,Thursday,Thursday,2,,10,65,No,No
118,38111,38111,34002,,1,16:59-17:00,Delivery,dd,Thursday,Thursday,2,,10,65,No,No
119,38111,38111,34002,,1,19:59-20:00,Delivery,dd,Thursday,Thursday,2,,10,65,No,No
120,38111,38111,34002,,1,20:59-21:00,Delivery,dd,Thursday,Thursday,2,,10,65,No,No
