Location Id,Product Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bank Holiday
3020,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
3020,8,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
3025,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
3025,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
3030,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
3030,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
3036,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
3036,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
3040,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
3040,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
3045,1,06:30,06:30,06:30,06:30,06:30,06:30,06:30,06:30
3045,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
3047,1,06:30,06:30,06:30,06:30,06:30,06:30,06:30,06:30
3047,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
3048,1,06:00,06:00,06:00,06:00,06:00,06:00,06:00,06:00
3048,8,06:00,06:00,06:00,06:00,06:00,06:00,06:00,06:00
3052,1,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
3052,8,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
3054,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
3054,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
3055,1,02:00,02:00,02:00,02:00,02:00,02:00,02:00,02:00
3055,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
3058,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
3058,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
3062,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
3062,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
3073,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
3075,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
3075,8,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
3076,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
3080,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
3080,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
3083,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
